plant_id,max_capacity,capex_m,fom_m,trans_cap_cost
152308,1300.2996,1051.84427,34.10667,20279.87856
139196,4266.47823,1057.65971,34.10667,12176.76314
138624,2932.94414,1057.65971,34.10667,42735.81416
138049,11.42436,1057.65971,34.10667,16775.54889
61547,522.40471,1057.65971,34.10667,11512.20882
138625,1621.22019,1057.65971,34.10667,67205.83725
139197,4222.85796,1002.26599,34.10667,25355.38591
139762,3385.76413,1009.73853,34.10667,7299.91443
139195,1330.41836,1051.84427,34.10667,15548.78315
136900,2272.40856,1009.73853,34.10667,31006.47188
62665,742.58324,1001.98969,34.10667,78974.92193
138048,777.89489,1057.65971,34.10667,41290.46828
138626,128.78367,1057.65971,34.10667,43106.92024
138047,1294.06813,1002.26599,34.10667,70813.43739
137447,38.42738,1145.05381,34.10667,59746.42004
62117,819.43801,1009.73853,34.10667,74909.73698
94756,7627.31649,1145.05381,34.10667,18014.0128
62116,967.95465,1057.65971,34.10667,100315.7667
95340,3487.54477,1145.05381,34.10667,16176.49447
77526,100.74206,1001.98969,34.10667,80479.41864
78162,206.67701,1057.65971,34.10667,75070.49328
94168,7058.17578,1145.05381,34.10667,29687.77972
139761,991.84195,1051.84427,34.10667,37376.71569
82575,495.40168,1009.73853,34.10667,35226.11534
132853,2164.39646,1002.26599,34.10667,80835.45833
80070,2176.85939,1057.65971,34.10667,152550.9145
60982,518.2504,1051.84427,34.10667,119552.2283
60983,1663.80188,1051.84427,34.10667,109989.6433
81969,138.13087,1002.26599,34.10667,79249.77866
86793,20.77156,1002.26599,34.10667,71112.42285
132854,2716.91993,1009.73853,34.10667,54908.38717
81336,1788.43124,1001.98969,34.10667,124772.3813
76298,32.19592,1009.73853,34.10667,66863.92228
75099,2075.07875,1002.26599,34.10667,144047.3137
105903,244.06582,1051.84427,34.10667,43162.35275
95339,4278.94117,1269.39024,34.10667,26001.81752
136901,255.49018,1145.05381,34.10667,5404.7483
79432,1716.76936,1057.65971,34.10667,132630.4298
94755,8312.77794,1269.39024,34.10667,15707.91671
94757,159.941,1269.39024,34.10667,19187.90034
93592,28.0416,1269.39024,34.10667,22223.06473
62667,896.29277,1145.05381,34.10667,70316.59308
81968,686.50003,1009.73853,34.10667,90304.96503
63217,669.88278,1051.84427,34.10667,115430.1019
95341,199.40697,1269.39024,34.10667,23702.49507
63220,1374.03863,1269.39024,34.10667,8511.60474
80699,2451.04397,1002.26599,34.10667,157938.9787
93596,7577.46475,1269.39024,34.10667,20276.33933
94167,8275.38914,1269.39024,34.10667,16538.92651
139775,6.23147,1145.05381,34.10667,29448.89679
139778,2098.96604,1145.05381,34.10667,74137.36794
75713,1594.21716,1009.73853,34.10667,134699.7465
70867,2162.3193,1009.73853,34.10667,97287.83568
62666,729.08172,1145.05381,34.10667,96393.32598
94165,1673.14908,1269.39024,34.10667,33170.90319
68495,3223.74597,1051.84427,34.10667,98068.35763
80700,2096.88889,1001.98969,34.10667,169688.1439
132274,1254.60217,1051.84427,34.10667,96954.99916
140343,140.20802,1145.05381,34.10667,67025.25804
94169,475.6687,1269.39024,34.10667,26881.05562
80654,186.94403,1269.39024,34.10667,33465.89267
139185,1631.60597,1145.05381,34.10667,98456.58239
138046,1707.42216,1145.05381,34.10667,65853.34837
81970,2397.03792,1009.73853,34.10667,102023.9894
93597,3018.10753,1269.39024,34.10667,15690.65819
66740,158.90243,1051.84427,34.10667,21411.83459
93008,2872.70662,1269.39024,34.10667,14923.29115
93009,4586.36024,1269.39024,34.10667,18019.85785
63780,1299.26102,1269.39024,34.10667,50273.89926
93595,7328.20604,1269.39024,34.10667,16479.70126
68496,3115.73386,1051.84427,34.10667,85219.52409
81967,445.54994,1051.84427,34.10667,77669.25793
64356,1067.65814,1145.05381,34.10667,115173.2571
138631,153.70954,1145.05381,34.10667,82149.79838
99419,5180.42684,1269.39024,34.10667,10094.63351
82571,893.17704,1051.84427,34.10667,71264.24555
83752,866.17401,1145.05381,34.10667,3264.98396
67334,3867.6643,1145.05381,34.10667,33586.72751
93010,2131.16196,1269.39024,34.10667,26858.88463
76904,1300.2996,1051.84427,34.10667,101692.6016
68456,420.62407,1145.05381,34.10667,141546.9071
60984,1384.42441,1145.05381,34.10667,130389.3467
62668,1326.26405,1269.39024,34.10667,55181.75496
138033,263.7988,1269.39024,34.10667,55006.33069
140913,17.65583,1145.05381,34.10667,60060.50809
78797,2604.75351,1001.98969,34.10667,266235.023
139763,2235.01976,1269.39024,34.10667,22872.48025
84343,86.20197,1145.05381,34.10667,12775.87792
81335,2156.08783,1051.84427,34.10667,157920.6769
76905,662.61273,1145.05381,34.10667,61703.6404
64357,1352.2285,1269.39024,34.10667,80038.3006
98821,4270.63255,1269.39024,34.10667,24664.93425
71466,2428.19526,1009.73853,34.10667,250594.4191
62118,459.05146,1145.05381,34.10667,99947.01071
138633,1957.71944,1145.05381,34.10667,103571.1661
93035,1871.51747,1002.26599,34.10667,175724.7222
71474,4060.8398,1145.05381,34.10667,38754.46007
138053,3788.73238,1145.05381,34.10667,130807.2776
96501,133.97656,1269.39024,34.10667,13095.47401
101213,209.79275,1009.73853,34.10667,13478.74104
