gen,tech,area,lat,lng,capacity,cost_spur_usd_per_km_mw,cost_poi_usd_per_mw,cost_reinforcement_usd_per_mw,system_capacity,capacity_factor
solar_6870,solar,2.0,35.816540155793106,-115.27356027885716,511.49,4340.889018140537,15000.0,191078.33,540.0,20.3885561933549
solar_14502,solar,2.0,36.3309810416,-114.923046536,1274.09,3317.1199651070892,35000.0,392252.53,540.0,19.972700974607537
solar_13734,solar,2.0,36.28811096778276,-115.01067497171428,1435.71,4670.662091503268,35000.0,275067.38,540.0,20.022836093802365
wind_13355,wind,2.0,35.602189786706894,-114.66016122885716,258.0,4238.3168759567225,35000.0,318633.25,3370.0,46.71920613088312
wind_13347,wind,2.0,35.602189786706894,-115.36118871457144,240.0,4934.397613384755,35000.0,271069.88,3370.0,31.74171522120349
wind_13723,wind,2.0,35.602189786706894,-113.34573469314286,282.0,4586.018234119997,35000.0,342503.72,3370.0,46.93785294623239
wind_14115,wind,2.0,35.645059860524135,-113.60862000028573,102.0,5301.523045267489,35000.0,319696.4,3370.0,44.604152879739
wind_13719,wind,2.0,35.602189786706894,-113.696248436,270.0,5210.298750561249,15000.0,369154.3,3370.0,49.6009464184887
wind_6864,wind,2.0,35.173489048534485,-114.309647486,252.0,4487.393906682622,35000.0,454195.8,3370.0,39.248624139220354
wind_12200,wind,2.0,35.47357956525517,-115.44881715028572,282.0,3513.425303677313,35000.0,368521.7,3370.0,35.868914710440556
wind_9542,wind,2.0,35.25922919616897,-113.43336312885717,228.0,3636.3574772151674,15000.0,206109.4,3370.0,40.26782429171251
wind_8004,wind,2.0,35.216359122351726,-115.01067497171428,222.0,3906.8795749374895,15000.0,347759.25,3370.0,57.02361614208024
wind_6862,wind,2.0,35.173489048534485,-114.48490435742858,42.0,5022.801101628039,35000.0,362114.1,3370.0,49.37766374099247
solar_9554,solar,3.0,36.09263361175185,-118.73731821751852,2675.24,4826.783703703703,35000.0,439531.4,540.0,19.246807189138497
solar_8801,solar,3.0,36.00605239491482,-118.0330194901111,1920.94,3150.371663040237,15000.0,166064.89,540.0,21.38626932296118
solar_11837,solar,3.0,36.35237726226296,-118.5260285992963,3199.82,3555.5323979640634,35000.0,657265.94,540.0,21.280843517492393
