area,tech,bus,gen,lat,lng,dist_km,capacity,capacity_factor,cost_poi_usd_per_mw,cost_reinforcement_usd_per_mw,cost_spur_usd_per_km_mw,same_area,system_capacity
1.0,wind,bus_102,wind_8770,33.412042347142105,-113.9774181261579,15.30892399268579,276.0,40.85052500898017,35000.0,139822.95,4952.446145236453,1,3370.0
1.0,wind,bus_102,wind_8775,33.51090539401579,-116.0482380198421,206.9155700158187,108.0,31.262503103984557,15000.0,240732.22,5543.147302292982,1,3370.0
2.0,wind,bus_102,wind_9542,35.25922919616897,-113.43336312885715,214.494478229251,228.0,40.26782429171251,15000.0,206109.4,3636.3574772151674,0,3370.0
1.0,wind,bus_102,wind_9546,33.609768440889475,-116.18629267942106,220.68514509436943,258.0,31.322704717256308,35000.0,228112.95,6730.409007429606,1,3370.0
1.0,wind,bus_102,wind_9926,33.609768440889475,-115.7721287006842,182.6534344040242,288.0,29.121414121724055,35000.0,177124.89,5342.027528675423,1,3370.0
3.0,wind,bus_102,wind_10314,34.96707779287037,-118.38516885381482,456.0022886912011,246.0,41.28737036872091,15000.0,469507.75,3910.4721550060904,0,3370.0
3.0,wind,bus_102,wind_11080,35.05365900970741,-117.82172987188889,412.974775812028,240.0,29.83449048851381,15000.0,473568.0,3140.1317006028785,0,3370.0
3.0,wind,bus_102,wind_11451,35.05365900970741,-117.39915063544444,378.8270116902566,216.0,31.922420034212657,35000.0,286184.66,5037.468664619892,0,3370.0
3.0,wind,bus_102,wind_11462,35.14024022654445,-118.59645847203703,481.1210683894237,72.0,30.90716157998361,15000.0,421182.88,4246.732688971792,0,3370.0
2.0,wind,bus_102,wind_12200,35.47357956525517,-115.44881715028572,278.40796214759,282.0,35.868914710440556,35000.0,368521.7,3513.425303677313,0,3370.0
3.0,wind,bus_102,wind_12222,35.22682144338148,-118.80774809025925,502.5581878338657,180.0,7.294763642570183,15000.0,448000.2,4639.573607492375,0,3370.0
2.0,wind,bus_102,wind_13347,35.602189786706894,-115.36118871457143,286.50595329827127,240.0,31.74171522120349,35000.0,271069.88,4934.397613384755,0,3370.0
